route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5,11,10838,,,,,,,
5,11,10839,,,,,,,
5,11,10840,,,,,,,
5,11,10841,,,,,,,
5,11,10842,,,,,,,
5,11,10843,,,,,,,
5,11,10844,,,,,,,
5,11,10845,,,,,,,
5,11,10846,,,,,,,
5,11,10847,,,,,,,
5,11,10848,,,,,,,
5,11,10849,,,,,,,
5,11,10850,,,,,,,
5,11,10853,,,,,,,
5,11,10854,,,,,,,
5,11,10855,,,,,,,
5,11,10856,,,,,,,
5,11,10857,,,,,,,
5,11,10858,,,,,,,
5,11,10859,,,,,,,
5,62,1086,,,,,,,
5,11,10860,,,,,,,
5,11,10861,,,,,,,
5,11,10862,,,,,,,
5,11,10863,,,,,,,
5,11,10864,,,,,,,
5,11,10865,,,,,,,
5,11,10866,,,,,,,
5,11,10867,,,,,,,
5,11,10868,,,,,,,
5,62,1087,,,,,,,
5,11,10871,,,,,,,
5,11,10872,,,,,,,
5,11,10873,,,,,,,
5,11,10874,,,,,,,
5,11,10875,,,,,,,
5,11,10876,,,,,,,
5,11,10877,,,,,,,
5,11,10878,,,,,,,
5,11,10879,,,,,,,
5,62,1088,,,,,,,
5,11,10880,,,,,,,
5,11,10881,,,,,,,
5,11,10882,,,,,,,
5,11,10883,,,,,,,
5,11,10884,,,,,,,
5,11,10885,,,,,,,
5,11,10886,,,,,,,
5,11,10887,,,,,,,
5,11,10888,,,,,,,
5,11,10889,,,,,,,
5,62,1089,,,,,,,
5,11,10892,,,,,,,
5,11,10893,,,,,,,
5,11,10894,,,,,,,
5,11,10895,,,,,,,
5,11,10896,,,,,,,
5,11,10897,,,,,,,
5,11,10898,,,,,,,
5,11,10899,,,,,,,
4,61,109,,,,,,,
5,62,1090,,,,,,,
5,11,10900,,,,,,,
5,11,10901,,,,,,,
5,11,10902,,,,,,,
5,11,10903,,,,,,,
5,11,10904,,,,,,,
5,11,10905,,,,,,,
5,11,10906,,,,,,,
5,11,10907,,,,,,,
5,11,10908,,,,,,,
6,11,10909,,,,,,,
5,62,1091,,,,,,,
6,11,10910,,,,,,,
5,11,10911,,,,,,,
5,11,10912,,,,,,,
